,db_id,original_sql,rewritten_sql,activated_rules,latency_org,latency_new,original_logical_plan
0,job,SELECT * FROM cast_info ci WHERE ci.person_id<100116 AND ci.role_id=2;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1 AND production_year = 1996) AS t INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 100) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN']",0.690098286,0.680078983,
1,job,SELECT * FROM cast_info ci WHERE ci.person_id<1002465;,SELECT * FROM (SELECT * FROM title WHERE production_year < 1938) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 2290872 AND role_id > 1) AS t0 ON t.id = t0.movie_id INNER JOIN movie_keyword ON t.id = movie_keyword.movie_id,"['FILTER_INTO_JOIN', 'FILTER_REDUCE_EXPRESSIONS']",5.810760101,5.688087622,
2,job,SELECT * FROM cast_info ci WHERE ci.person_id<1004616;,SELECT * FROM (SELECT * FROM title WHERE kind_id = 1) AS t INNER JOIN (SELECT * FROM cast_info WHERE person_id < 504274 AND role_id > 2) AS t0 ON t.id = t0.movie_id INNER JOIN movie_info_idx ON t.id = movie_info_idx.movie_id,['FILTER_INTO_JOIN'],6.240714312,4.43037645,
3,job,SELECT * FROM cast_info ci WHERE ci.person_id<1023213 AND ci.role_id>3;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_info_idx WHERE info_type_id > 100) AS t ON title.id = t.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 2327) AS t0 ON title.id = t0.movie_id,"['FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",2.960909128,2.891651551,
4,job,SELECT * FROM cast_info ci WHERE ci.person_id<1106503;,SELECT * FROM cast_info ci WHERE ci.person_id<1106503;,[],6.049209436,5.976602634,
5,job,SELECT * FROM cast_info ci WHERE ci.person_id<1381981 AND ci.role_id>3;,SELECT * FROM title INNER JOIN (SELECT * FROM movie_companies WHERE company_id = 12666) AS t ON title.id = t.movie_id INNER JOIN movie_info ON title.id = movie_info.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'JOIN_CONDITION_PUSH', 'JOIN_REDUCE_EXPRESSIONS', 'JOIN_REDUCE_EXPRESSIONS', 'JOIN_REDUCE_EXPRESSIONS', 'JOIN_REDUCE_EXPRESSIONS', 'PROJECT_REDUCE_EXPRESSIONS']",0.927438339,0.846405983,
6,job,SELECT * FROM cast_info ci WHERE ci.person_id<1430838;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7) AS t INNER JOIN (SELECT * FROM movie_info WHERE info_type_id = 7) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id > 1064) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_MERGE']",10.78728636,9.35571901,
7,job,SELECT * FROM cast_info ci WHERE ci.person_id<1712939 AND ci.role_id>2;,SELECT * FROM (SELECT * FROM title WHERE kind_id < 7 AND production_year > 2010) AS t INNER JOIN movie_companies ON t.id = movie_companies.movie_id INNER JOIN (SELECT * FROM movie_keyword WHERE keyword_id = 53226) AS t0 ON t.id = t0.movie_id,"['FILTER_INTO_JOIN', 'FILTER_SCAN', 'JOIN_CONDITION_PUSH']",0.302461704,0.274326324,
8,job,SELECT * FROM cast_info ci WHERE ci.person_id<2578472;,SELECT * FROM title INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1102320 AND role_id = 2) AS t ON title.id = t.movie_id,"['FILTER_INTO_JOIN', 'PROJECT_REDUCE_EXPRESSIONS', 'JOIN_CONDITION_PUSH']",1.903021812,1.740631262,
9,job,SELECT * FROM cast_info ci WHERE ci.person_id<286848;,SELECT * FROM (SELECT * FROM title WHERE kind_id > 1) AS t INNER JOIN (SELECT * FROM movie_companies WHERE company_id > 68 AND company_type_id = 1) AS t0 ON t.id = t0.movie_id INNER JOIN (SELECT * FROM cast_info WHERE person_id < 1673909) AS t1 ON t.id = t1.movie_id,"['FILTER_INTO_JOIN', 'FILTER_INTO_JOIN', 'FILTER_INTO_JOIN', 'JOIN_CONDITION_PUSH']",23.36182827,10.66120664,
